Order ID,Color,Cost,countryCode,"Month, Day, Year of Date",ASIN,Size,Store,Price,Sales,Units
6440aac7c0c3edd418f834eb,Black,31.1,BE,"March 23, 2023",B09JG59MGK,120mm,Dracaena Store,55.149,55.149,1
6440ce79c0c3edd418fadcb7,Black,31.1,GB,"February 19, 2023",B09JG59MGK,120mm,Dracaena Store,65.3923,65.3923,1
6440ce79c0c3edd418fadcb9,Black,31.1,GB,"February 21, 2023",B09JG59MGK,120mm,Dracaena Store,65.3923,65.3923,1
6440ce79c0c3edd418fadcbd,Black,31.1,GB,"February 25, 2023",B09JG59MGK,120mm,Dracaena Store,67.0306,134.0612,2
6440ce79c0c3edd418fadcbe,Black,31.1,GB,"February 26, 2023",B09JG59MGK,120mm,Dracaena Store,67.0306,67.0306,1
6440ce79c0c3edd418fadcc2,Black,31.1,GB,"March 2, 2023",B09JG59MGK,120mm,Dracaena Store,58.8518,117.7036,2
6440ce79c0c3edd418fadcc3,Black,31.1,GB,"March 3, 2023",B09JG59MGK,120mm,Dracaena Store,52.3113,52.3113,1
6440ce79c0c3edd418fadcc7,Black,31.1,GB,"March 7, 2023",B09JG59MGK,120mm,Dracaena Store,67.0306,67.0306,1
6440ce79c0c3edd418fadcc8,Black,31.1,GB,"March 8, 2023",B09JG59MGK,120mm,Dracaena Store,65.3923,65.3923,1
6440ce79c0c3edd418fadccd,Black,31.1,GB,"March 13, 2023",B09JG59MGK,120mm,Dracaena Store,65.3923,65.3923,1
6440d672c0c3edd418fb77f7,Black,31.1,DE,"March 15, 2023",B09JG59MGK,120mm,Dracaena Store,61.5414,61.5414,1
6441d24ec0c3edd4180cf44e,Black,31.1,MX,"April 18, 2023",B09JG59MGK,120mm,Dracaena Store,57.942,57.942,1
6441e5a7c0c3edd4180e410a,Black,31.1,GB,"December 28, 2022",B09JG59MGK,120mm,Dracaena Store,64.7573,129.5146,2
6441e5a7c0c3edd4180e410b,Black,31.1,GB,"December 29, 2022",B09JG59MGK,120mm,Dracaena Store,64.7573,64.7573,1
6441e5a7c0c3edd4180e410c,Black,31.1,GB,"December 30, 2022",B09JG59MGK,120mm,Dracaena Store,65.3923,65.3923,1
6441e5a7c0c3edd4180e411b,Black,31.1,GB,"January 14, 2023",B09JG59MGK,120mm,Dracaena Store,65.3923,130.7846,2
6441e5a7c0c3edd4180e411f,Black,31.1,GB,"January 18, 2023",B09JG59MGK,120mm,Dracaena Store,65.3923,65.3923,1
6441e5a7c0c3edd4180e4105,Black,31.1,GB,"December 23, 2022",B09JG59MGK,120mm,Dracaena Store,63.8937,63.8937,1
6441e5a7c0c3edd4180e4109,Black,31.1,GB,"December 27, 2022",B09JG59MGK,120mm,Dracaena Store,65.3923,65.3923,1
6441e5a7c0c3edd4180e4115,Black,31.1,GB,"January 8, 2023",B09JG59MGK,120mm,Dracaena Store,65.3923,65.3923,1
6441e5a7c0c3edd4180e4116,Black,31.1,GB,"January 9, 2023",B09JG59MGK,120mm,Dracaena Store,65.3923,65.3923,1
6441e5a7c0c3edd4180e4117,Black,31.1,GB,"January 10, 2023",B09JG59MGK,120mm,Dracaena Store,65.3923,65.3923,1
6441e5c6c0c3edd4180e428b,Black,41.1,GB,"December 23, 2022",B09JG4TTP2,240mmm,Dracaena Store,79.9973,79.9973,1
6441e5c6c0c3edd4180e4289,Black,41.1,GB,"December 21, 2022",B09JG4TTP2,240mmm,Dracaena Store,79.9973,79.9973,1
6441e5c6c0c3edd4180e4290,Black,41.1,GB,"December 28, 2022",B09JG4TTP2,240mmm,Dracaena Store,79.9973,79.9973,1
6441e5c6c0c3edd4180e4291,Black,41.1,GB,"December 29, 2022",B09JG4TTP2,240mmm,Dracaena Store,79.9973,159.9946,2
6441e5c6c0c3edd4180e4293,Black,41.1,GB,"December 31, 2022",B09JG4TTP2,240mmm,Dracaena Store,79.9973,79.9973,1
6441e5d8c0c3edd4180e437b,Black,51,GB,"December 23, 2022",B09JG5X1PY,360mm,Dracaena Store,97.6122,97.6122,1
6441e5d8c0c3edd4180e437f,Black,51,GB,"December 27, 2022",B09JG5X1PY,360mm,Dracaena Store,94.4372,94.4372,1
6441edb6c0c3edd4180ecfe2,Black,31.1,DE,"December 26, 2022",B09JG59MGK,120mm,Dracaena Store,61.0291,61.0291,1
6441eef0c0c3edd4180eeb2c,Black,41.1,DE,"December 22, 2022",B09JG4TTP2,240mmm,Dracaena Store,74.1091,74.1091,1
6441eef0c0c3edd4180eeb2d,Black,41.1,DE,"December 23, 2022",B09JG4TTP2,240mmm,Dracaena Store,74.1091,74.1091,1
6441eef0c0c3edd4180eeb37,Black,41.1,DE,"January 2, 2023",B09JG4TTP2,240mmm,Dracaena Store,74.1091,74.1091,1
6441f6a5c0c3edd4180f86ef,Black,31.1,US,"March 28, 2023",B09JG59MGK,120mm,Dracaena Store,52,52,1
6441f6a5c0c3edd4180f86fd,Black,31.1,US,"April 11, 2023",B09JG59MGK,120mm,Dracaena Store,52,52,1
64171e941bb907e393d65445,Black,31.1,CA,"October 21, 2022",B09JG59MGK,120mm,Dracaena Store,52.44,52.44,1
64171e941bb907e393d65446,Black,31.1,CA,"October 22, 2022",B09JG59MGK,120mm,Dracaena Store,52.44,52.44,1
64171e941bb907e393d65447,Black,31.1,CA,"October 23, 2022",B09JG59MGK,120mm,Dracaena Store,52.44,52.44,1
64171e941bb907e393d65449,Black,31.1,CA,"October 25, 2022",B09JG59MGK,120mm,Dracaena Store,52.44,52.44,1
64172e1d1bb907e393d7130c,Black,51,US,"October 20, 2022",B09JG5X1PY,360mm,Dracaena Store,86,86,1
64172e181bb907e393d712f1,Black,41.1,US,"October 23, 2022",B09JG4TTP2,240mmm,Dracaena Store,69,69,1
64172e181bb907e393d712f3,Black,41.1,US,"October 25, 2022",B09JG4TTP2,240mmm,Dracaena Store,69,207,3
64172e821bb907e393d715be,Black,31.1,US,"October 20, 2022",B09JG59MGK,120mm,Dracaena Store,52,364,7
64172e821bb907e393d715bf,Black,31.1,US,"October 21, 2022",B09JG59MGK,120mm,Dracaena Store,52,156,3
64172e821bb907e393d715c0,Black,31.1,US,"October 22, 2022",B09JG59MGK,120mm,Dracaena Store,52,312,6
64172e821bb907e393d715c1,Black,31.1,US,"October 23, 2022",B09JG59MGK,120mm,Dracaena Store,52,208,4
64172e821bb907e393d715c2,Black,31.1,US,"October 24, 2022",B09JG59MGK,120mm,Dracaena Store,52,416,8
64172e821bb907e393d715c3,Black,31.1,US,"October 25, 2022",B09JG59MGK,120mm,Dracaena Store,52,156,3
64172e821bb907e393d715c4,Black,31.1,US,"October 26, 2022",B09JG59MGK,120mm,Dracaena Store,52,260,5
64172e821bb907e393d715c5,Black,31.1,US,"October 27, 2022",B09JG59MGK,120mm,Dracaena Store,52,416,8
64227a068c830bbda3ab53d2,Black,41.1,GB,"November 4, 2022",B09JG4TTP2,240mmm,Dracaena Store,76.2,76.2,1
64320a662573fba749c92bcc,Black,41.1,US,"November 9, 2022",B09JG4TTP2,240mmm,Dracaena Store,69,276,4
64320ad32573fba749c9370c,Black,31.1,US,"November 9, 2022",B09JG59MGK,120mm,Dracaena Store,54.99,329.94,6
64325c842573fba749d0b47b,Black,31.1,DE,"November 12, 2022",B09JG59MGK,120mm,Dracaena Store,61.5632,61.5632,1
64325c842573fba749d0b479,Black,31.1,DE,"November 10, 2022",B09JG59MGK,120mm,Dracaena Store,61.0509,61.0509,1
64325c842573fba749d0b481,Black,31.1,DE,"November 18, 2022",B09JG59MGK,120mm,Dracaena Store,61.0509,61.0509,1
64325d062573fba749d0c051,Black,51,DE,"November 12, 2022",B09JG5X1PY,360mm,Dracaena Store,94.83,94.83,1
64325d602573fba749d0c95d,Black,41.1,DE,"November 18, 2022",B09JG4TTP2,240mmm,Dracaena Store,65.4,65.4,1
64403a81c0c3edd418f07c6e,Black,31.1,IT,"November 20, 2022",B09JG59MGK,120mm,Dracaena Store,62.13,62.13,1
64403feec0c3edd418f0f233,Black,31.1,JP,"November 20, 2022",B09JG59MGK,120mm,Dracaena Store,46.186,46.186,1
64404c69c0c3edd418f1b2bd,Black,41.1,US,"November 20, 2022",B09JG4TTP2,240mmm,Dracaena Store,69,69,1
64404cfac0c3edd418f1b58d,Black,31.1,US,"November 20, 2022",B09JG59MGK,120mm,Dracaena Store,55,330,6
64407f3ec0c3edd418f50a5e,Black,31.1,DE,"April 1, 2023",B09JG59MGK,120mm,Dracaena Store,54.4891,54.4891,1
64407f3ec0c3edd418f50a6b,Black,31.1,DE,"April 14, 2023",B09JG59MGK,120mm,Dracaena Store,54.4891,54.4891,1
64407f3ec0c3edd418f50a6d,Black,31.1,DE,"April 16, 2023",B09JG59MGK,120mm,Dracaena Store,54.4891,54.4891,1
