Order ID,Color,Cost,countryCode,"Month, Day, Year of Date",ASIN,Size,Store,Price,Sales,Units,Profit
63d474f6dba2fe37f0ad97bf,Black,31.1,JP,1-May-22,B09JG59MGK,120mm,Dracaena Store,41.993,41.993,1,10.893
63d474f6dba2fe37f0ad97c0,Black,31.1,JP,2-May-22,B09JG59MGK,120mm,Dracaena Store,41.993,41.993,1,10.893
63d493bfdba2fe37f0affec8,Black,31.1,MX,8-Jun-22,B09JG59MGK,120mm,Dracaena Store,62.64,62.64,1,31.54
63d1426ddba2fe37f063163d,Black,31.1,US,7-Feb-22,B09JG59MGK,120mm,Dracaena Store,49,49,1,17.9
63d1690fdba2fe37f066368d,Black,41.1,US,18-Jan-22,B09JG4TTP2,240mmm,Dracaena Store,65,65,1,23.9
63d1690fdba2fe37f0663683,Black,41.1,US,8-Jan-22,B09JG4TTP2,240mmm,Dracaena Store,65,65,1,23.9
63d1690fdba2fe37f0663692,Black,41.1,US,23-Jan-22,B09JG4TTP2,240mmm,Dracaena Store,65,65,1,23.9
63d1690fdba2fe37f0663694,Black,41.1,US,25-Jan-22,B09JG4TTP2,240mmm,Dracaena Store,65,65,1,23.9
63d03888dba2fe37f0432c5b,Black,31.1,DE,27-Jul-22,B09JG59MGK,120mm,Dracaena Store,60.5604,60.5604,1,29.4604
63d03888dba2fe37f0432c64,Black,31.1,DE,5-Aug-22,B09JG59MGK,120mm,Dracaena Store,61.0509,61.0509,1,29.9509
63d03888dba2fe37f0432c65,Black,31.1,DE,6-Aug-22,B09JG59MGK,120mm,Dracaena Store,61.0509,61.0509,1,29.9509
63d03888dba2fe37f0432c69,Black,31.1,DE,10-Aug-22,B09JG59MGK,120mm,Dracaena Store,61.0509,61.0509,1,29.9509
63d11169dba2fe37f05f47a4,Black,31.1,GB,20-Jun-22,B09JG59MGK,120mm,Dracaena Store,55.118,55.118,1,24.018
63d11169dba2fe37f05f4790,Black,31.1,GB,31-May-22,B09JG59MGK,120mm,Dracaena Store,53.8734,53.8734,1,22.7734
63d11169dba2fe37f05f4791,Black,31.1,GB,1-Jun-22,B09JG59MGK,120mm,Dracaena Store,53.8734,107.7468,2,45.5468
63d16277dba2fe37f0657821,Black,31.1,GB,20-May-22,B09JG59MGK,120mm,Dracaena Store,54.5973,54.5973,1,23.4973
63d16277dba2fe37f0657825,Black,31.1,GB,24-May-22,B09JG59MGK,120mm,Dracaena Store,54.5973,54.5973,1,23.4973
63d16277dba2fe37f0657827,Black,31.1,GB,26-May-22,B09JG59MGK,120mm,Dracaena Store,54.2417,216.9414,4,92.5668
63d16277dba2fe37f0657828,Black,31.1,GB,27-May-22,B09JG59MGK,120mm,Dracaena Store,53.8734,53.8734,1,22.7734
63d16913dba2fe37f066370a,Black,51,US,23-Jan-22,B09JG5X1PY,360mm,Dracaena Store,89,89,1,38
63d16913dba2fe37f0663700,Black,51,US,13-Jan-22,B09JG5X1PY,360mm,Dracaena Store,89,89,1,38
63d16973dba2fe37f066410a,Black,31.1,US,3-Jan-22,B09JG59MGK,120mm,Dracaena Store,45,90,2,27.8
63d16973dba2fe37f066410b,Black,31.1,US,4-Jan-22,B09JG59MGK,120mm,Dracaena Store,45,45,1,13.9
63d16973dba2fe37f066410c,Black,31.1,US,5-Jan-22,B09JG59MGK,120mm,Dracaena Store,45,135,3,41.7
63d16973dba2fe37f066410d,Black,31.1,US,6-Jan-22,B09JG59MGK,120mm,Dracaena Store,45,45,1,13.9
63d16973dba2fe37f066411a,Black,31.1,US,19-Jan-22,B09JG59MGK,120mm,Dracaena Store,45,90,2,27.8
63d16973dba2fe37f066411d,Black,31.1,US,22-Jan-22,B09JG59MGK,120mm,Dracaena Store,45,135,3,41.7
63d16973dba2fe37f066411e,Black,31.1,US,23-Jan-22,B09JG59MGK,120mm,Dracaena Store,45,45,1,13.9
63d16973dba2fe37f066411f,Black,31.1,US,24-Jan-22,B09JG59MGK,120mm,Dracaena Store,45,135,3,41.7
63d16973dba2fe37f0664107,Black,31.1,US,31-Dec-21,B09JG59MGK,120mm,Dracaena Store,45,90,2,27.8
63d16973dba2fe37f0664112,Black,31.1,US,11-Jan-22,B09JG59MGK,120mm,Dracaena Store,45,45,1,13.9
63d16973dba2fe37f0664114,Black,31.1,US,13-Jan-22,B09JG59MGK,120mm,Dracaena Store,45,90,2,27.8
63d16973dba2fe37f0664115,Black,31.1,US,14-Jan-22,B09JG59MGK,120mm,Dracaena Store,45,90,2,27.8
63d16973dba2fe37f0664116,Black,31.1,US,15-Jan-22,B09JG59MGK,120mm,Dracaena Store,45,45,1,13.9
63d16973dba2fe37f0664118,Black,31.1,US,17-Jan-22,B09JG59MGK,120mm,Dracaena Store,45,135,3,41.7
63d16973dba2fe37f0664119,Black,31.1,US,18-Jan-22,B09JG59MGK,120mm,Dracaena Store,45,90,2,27.8
63d16973dba2fe37f0664120,Black,31.1,US,25-Jan-22,B09JG59MGK,120mm,Dracaena Store,45,90,2,27.8
63d16973dba2fe37f0664121,Black,31.1,US,26-Jan-22,B09JG59MGK,120mm,Dracaena Store,49,49,1,17.9
63d18651dba2fe37f0697cbe,Black,31.1,US,6-Dec-21,B09JG59MGK,120mm,Dracaena Store,45.99,45.99,1,14.89
63d18651dba2fe37f0697cbf,Black,31.1,US,7-Dec-21,B09JG59MGK,120mm,Dracaena Store,45.99,45.99,1,14.89
63d18651dba2fe37f0697cc0,Black,31.1,US,8-Dec-21,B09JG59MGK,120mm,Dracaena Store,45.99,45.99,1,14.89
63d18651dba2fe37f0697cc4,Black,31.1,US,12-Dec-21,B09JG59MGK,120mm,Dracaena Store,45.99,45.99,1,14.89
63d18651dba2fe37f0697cc6,Black,31.1,US,14-Dec-21,B09JG59MGK,120mm,Dracaena Store,45.99,45.99,1,14.89
