ASIN,Color,countryCode,Date,Order ID,Size,Store,Cost,Price to USD,Sales to USD,Units Sold
B09JG5X1PY,Black,US,5/18/2023,649bc6bdc7011f37409783ff,360mm,Ingenious Store,51,89.99,89.99,1
B09JG5X1PY,Black,US,5/19/2023,649bc6bdc7011f3740978400,360mm,Ingenious Store,51,89.99,89.99,1
B09JG4TTP2,Black,US,4/28/2023,649bca14c7011f374097aa01,240mm,Ingenious Store,41.1,69.99,139.98,2
B09JG4TTP2,Black,US,4/30/2023,649bc6cbc7011f37409784a1,240mm,Ingenious Store,41.1,69.99,139.98,2
B09JG4TTP2,Black,US,6/11/2023,649bc37fc7011f3740975f69,240mm,Ingenious Store,41.1,72.99,145.98,2
B09JG4TTP2,Black,US,5/2/2023,649bc6cbc7011f37409784a3,240mm,Ingenious Store,41.1,74.99,149.98,2
B09JG4TTP2,Black,US,5/6/2023,649bc6cbc7011f37409784a7,240mm,Ingenious Store,41.1,74.99,149.98,2
B09JG4TTP2,Black,US,5/8/2023,649bc6cbc7011f37409784a9,240mm,Ingenious Store,41.1,74.99,149.98,2
B09JG4TTP2,Black,US,5/29/2023,649bc37fc7011f3740975f5c,240mm,Ingenious Store,41.1,74.99,149.98,2
B09JG4TTP2,Black,US,12/23/2022,64427bf9dc352d950f443aa2,240mm,Ingenious Store,41.1,75.99,151.98,2
B09JG4TTP2,Black,US,12/25/2022,64427bf9dc352d950f443aa4,240mm,Ingenious Store,41.1,75.99,151.98,2
B09JG4TTP2,Black,US,12/26/2022,64427bf9dc352d950f443aa5,240mm,Ingenious Store,41.1,75.99,151.98,2
B09JG4TTP2,Black,US,12/28/2022,649967c295fc0c94f0528c0b,240mm,Ingenious Store,41.1,75.99,151.98,2
B09JG4TTP2,Black,US,1/17/2023,649bd3b3c7011f37409819c2,240mm,Ingenious Store,41.1,75.99,151.98,2
B09JG4TTP2,Black,US,1/28/2023,649bd3b3c7011f37409819cd,240mm,Ingenious Store,41.1,75.99,151.98,2
